DESC,How did serfdom develop in and then leave Russia ?,1
ENTY,What films featured the character Popeye Doyle ?,2
DESC,How can I find a list of celebrities ' real names ?,1
ENTY,What fowl grabs the spotlight after the Chinese Year of the Monkey ?,2
ABBR,What is the full form of .com ?,0
HUM,What contemptible scoundrel stole the cork from my lunch ?,3
HUM,What team did baseball 's St. Louis Browns become ?,3
HUM,What is the oldest profession ?,3
DESC,What are liver enzymes ?,1
HUM,Name the scar-faced bounty hunter of The Old West .,3
NUM,When was Ozzy Osbourne born ?,5
DESC,Why do heavier objects travel downhill faster ?,1
HUM,Who was The Pride of the Yankees ?,3
HUM,Who killed Gandhi ?,3
ENTY,What is considered the costliest disaster the insurance industry has ever faced ?,2
LOC,What sprawling U.S. state boasts the most airports ?,4
DESC,What did the only repealed amendment to the U.S. Constitution deal with ?,1
NUM,How many Jews were executed in concentration camps during WWII ?,5
DESC,What is `` Nine Inch Nails '' ?,1
DESC,What is an annotated bibliography ?,1
NUM,What is the date of Boxing Day ?,5
ENTY,What articles of clothing are tokens in Monopoly ?,2
HUM,Name 11 famous martyrs .,3
DESC,What 's the Olympic motto ?,1
DESC,What is the origin of the name ` Scarlett ' ?,1
ENTY,What 's the second-most-used vowel in English ?,2
HUM,Who was the inventor of silly putty ?,3
LOC,What is the highest waterfall in the United States ?,4
ENTY,Name a golf course in Myrtle Beach .,2
LOC,Which two states enclose Chesapeake Bay ?,4
ABBR,What does the abbreviation AIDS stand for ?,0
ENTY,What does a spermologer collect ?,2
NUM,How many points make up a perfect fivepin bowling score ?,5
HUM,Which company that manufactures video-game hardware sells the `` super system '' ?,3
NUM,How many Community Chest cards are there in Monopoly ?,5
DESC,What do Mormons believe ?,1
NUM,When did the neanderthal man live ?,5
ENTY,In what religion was Isis the nature goddess ?,2
LOC,Where do the adventures of `` The Swiss Family Robinson '' take place ?,4
ENTY,What relative of the racoon is sometimes known as the cat-bear ?,2
DESC,How can I register my website in Yahoo for free ?,1
ENTY,What was cash-conscious Colonel Edwin L. Drake the first to drill ?,2
NUM,How many people in the world speak French ?,5
NUM,How many inches over six feet is the Venus de Milo ?,5
DESC,How do they find or choose witnesses to an execution ?,1
HUM,What 1920s cowboy star rode Tony the Wonder Horse ?,3
ENTY,What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,2
HUM,What ISPs exist in the Caribbean ?,3
DESC,How do you ask a total stranger out on a date ?,1
ENTY,What weapon is the mythological character Apollo most proficient with ?,2
