NUM:dist,How far is it from Denver to Aspen ?,41
LOC:city,What county is Modesto California in ?,33
HUM:desc,Who was Galileo ?,29
DESC:def,What is an atom ?,3
NUM:date,When did Hawaii become a state ?,40
NUM:dist,How tall is the Sears Building ?,41
HUM:gr,George Bush purchased a small interest in which baseball team ?,30
ENTY:plant,What is Australia 's national flower ?,19
DESC:reason,Why does the moon turn orange ?,6
DESC:def,What is autism ?,3
LOC:city,What city had a world fair in 1900 ?,33
HUM:ind,What person 's head is on a dime ?,31
NUM:weight,What is the average weight of a Yellow Labrador ?,0
HUM:ind,Who was the first man to fly across the Pacific Ocean ?,31
NUM:date,When did Idaho become a state ?,40
NUM:other,What is the life expectancy for crickets ?,44
ENTY:substance,What metal has the highest melting point ?,23
HUM:ind,Who developed the vaccination against polio ?,31
DESC:def,What is epilepsy ?,3
NUM:date,What year did the Titanic sink ?,40
HUM:ind,Who was the first American to walk in space ?,31
DESC:def,What is a biosphere ?,3
LOC:other,What river in the US is known as the Big Muddy ?,36
DESC:def,What is bipolar disorder ?,3
DESC:def,What is cholesterol ?,3
HUM:ind,Who developed the Macintosh computer ?,31
DESC:def,What is caffeine ?,3
LOC:other,What imaginary line is halfway between the North and South Poles ?,36
LOC:other,Where is John Wayne airport ?,36
LOC:other,What hemisphere is the Philippines in ?,36
NUM:speed,What is the average speed of the horses at the Kentucky Derby ?,47
LOC:mount,Where are the Rocky Mountains ?,35
DESC:def,What are invertebrates ?,3
NUM:temp,What is the temperature at the center of the earth ?,48
NUM:date,When did John F. Kennedy get elected as President ?,40
NUM:period,How old was Elvis Presley when he died ?,46
LOC:other,Where is the Orinoco River ?,36
NUM:dist,How far is the service line from the net in tennis ?,41
NUM:count,How much fiber should you have per day ?,39
NUM:count,How many Great Lakes are there ?,39
ENTY:plant,Material called linen is made from what plant ?,19
DESC:def,What is Teflon ?,3
DESC:def,What is amitriptyline ?,3
DESC:def,What is a shaman ?,3
ENTY:animal,What is the proper name for a female walrus ?,7
ENTY:animal,What is a group of turkeys called ?,7
NUM:period,How long did Rip Van Winkle sleep ?,46
DESC:def,What are triglycerides ?,3
NUM:count,How many liters in a gallon ?,39
HUM:gr,What is the name of the chocolate company in San Francisco ?,30
DESC:def,What are amphibians ?,3
HUM:ind,Who discovered x-rays ?,31
HUM:ind,Which comedian 's signature line is `` Can we talk '' ?,31
DESC:def,What is fibromyalgia ?,3
DESC:desc,What is done with worn or outdated flags ?,4
DESC:def,What does cc in engines mean ?,3
NUM:date,When did Elvis Presley die ?,40
LOC:city,What is the capital of Yugoslavia ?,33
LOC:city,Where is Milan ?,33
NUM:speed,What is the speed hummingbirds fly ?,47
LOC:city,What is the oldest city in the United States ?,33
HUM:ind,What was W.C. Fields ' real name ?,31
LOC:other,What river flows between Fargo North Dakota and Moorhead Minnesota ?,36
ENTY:food,What do bats eat ?,14
LOC:state,What state did the Battle of Bighorn take place in ?,37
HUM:desc,Who was Abraham Lincoln ?,29
