DESC:manner,How did serfdom develop in and then leave Russia ?,5
ENTY:cremat,What films featured the character Popeye Doyle ?,10
DESC:manner,How can I find a list of celebrities ' real names ?,5
ENTY:animal,What fowl grabs the spotlight after the Chinese Year of the Monkey ?,7
ABBR:exp,What is the full form of .com ?,2
HUM:ind,What contemptible scoundrel stole the cork from my lunch ?,31
HUM:gr,What team did baseball 's St. Louis Browns become ?,30
HUM:title,What is the oldest profession ?,32
DESC:def,What are liver enzymes ?,3
HUM:ind,Name the scar-faced bounty hunter of The Old West .,31
NUM:date,When was Ozzy Osbourne born ?,40
DESC:reason,Why do heavier objects travel downhill faster ?,6
HUM:ind,Who was The Pride of the Yankees ?,31
HUM:ind,Who killed Gandhi ?,31
ENTY:event,What is considered the costliest disaster the insurance industry has ever faced ?,13
LOC:state,What sprawling U.S. state boasts the most airports ?,37
DESC:desc,What did the only repealed amendment to the U.S. Constitution deal with ?,4
NUM:count,How many Jews were executed in concentration camps during WWII ?,39
DESC:def,What is `` Nine Inch Nails '' ?,3
DESC:def,What is an annotated bibliography ?,3
NUM:date,What is the date of Boxing Day ?,40
ENTY:other,What articles of clothing are tokens in Monopoly ?,18
HUM:ind,Name 11 famous martyrs .,31
DESC:desc,What 's the Olympic motto ?,4
DESC:desc,What is the origin of the name ` Scarlett ' ?,4
ENTY:letter,What 's the second-most-used vowel in English ?,17
HUM:ind,Who was the inventor of silly putty ?,31
LOC:other,What is the highest waterfall in the United States ?,36
ENTY:other,Name a golf course in Myrtle Beach .,18
LOC:state,Which two states enclose Chesapeake Bay ?,37
ABBR:exp,What does the abbreviation AIDS stand for ?,2
ENTY:other,What does a spermologer collect ?,18
NUM:count,How many points make up a perfect fivepin bowling score ?,39
HUM:gr,Which company that manufactures video-game hardware sells the `` super system '' ?,30
NUM:count,How many Community Chest cards are there in Monopoly ?,39
DESC:desc,What do Mormons believe ?,4
NUM:date,When did the neanderthal man live ?,40
ENTY:religion,In what religion was Isis the nature goddess ?,21
LOC:other,Where do the adventures of `` The Swiss Family Robinson '' take place ?,36
ENTY:animal,What relative of the racoon is sometimes known as the cat-bear ?,7
DESC:manner,How can I register my website in Yahoo for free ?,5
ENTY:other,What was cash-conscious Colonel Edwin L. Drake the first to drill ?,18
NUM:count,How many people in the world speak French ?,39
